AgeuponOutcome,AnimalType,Breed,Color,DateTime,Name,SexuponOutcome,OutcomeType
1,0,50,40,1450200600,1,1,Return_to_owner
2,1,36,45,1402418460,1,0,Transfer
2,0,52,12,1431789540,1,1,Return_to_owner
2,1,1,2,1403082000,0,3,Transfer
0.25,1,1,30,1445331600,0,4,Transfer
0.083333333333333,0,53,28,1416768900,1,1,Adoption
0.16666666666667,1,1,15,1407244800,0,0,Adoption
0.83333333333333,1,37,1,1392579480,0,0,Adoption
2,1,37,36,1455035460,1,1,Transfer
0.16666666666667,1,37,24,1435505580,1,1,Adoption
0.5,0,18,27,1446405060,1,0,Adoption
0.16666666666667,1,1,7,1446923640,1,1,Adoption
1,0,26,4,1411754940,0,1,Adoption
0.5,0,26,0,1413988620,1,3,Transfer
1,1,1,16,1401644880,1,1,Adoption
0.057692307692308,1,1,24,1410547080,0,2,Transfer
2,1,1,7,1455893880,1,0,Adoption
0.91666666666667,0,23,2,1447507800,1,1,Adoption
0.25,0,54,28,1393865880,0,0,Transfer
2,0,55,12,1392035640,1,1,Return_to_owner
2,0,2,37,1411820700,1,0,Transfer
2,0,2,0,1439638320,1,0,Adoption
0.33333333333333,1,33,24,1404413100,1,1,Adoption
0.33333333333333,0,56,37,1407770220,0,3,Transfer
0.41666666666667,1,1,25,1410771600,0,3,Transfer
0.16666666666667,1,1,46,1450265280,1,0,Adoption
7,0,16,0,1438184460,1,0,Transfer
4,1,1,16,1453565100,1,0,Adoption
0.057692307692308,1,1,47,1441884900,0,3,Transfer
0.5,0,42,16,1449421680,1,0,Adoption
0.41666666666667,0,18,16,1439056680,1,3,Adoption
8,0,57,9,1452685380,1,1,Return_to_owner
0.16666666666667,1,1,10,1437326760,0,0,Adoption
0.083333333333333,1,1,31,1436205900,1,1,Adoption
0.41666666666667,0,18,9,1455561000,0,1,Return_to_owner
0.083333333333333,1,1,7,1401544680,1,2,Transfer
0.33333333333333,1,1,6,1414054800,0,2,Transfer
1,0,16,21,1438430040,1,1,Adoption
2,0,58,18,1407687900,1,0,Adoption
11,1,1,30,1383580200,1,1,Transfer
0.16666666666667,0,59,28,1435224660,0,0,Adoption
0.16666666666667,1,1,29,1441065600,1,0,Transfer
0.16666666666667,1,1,7,1446144240,1,3,Adoption
0.083333333333333,0,60,48,1429540860,1,1,Adoption
7,0,61,21,1432553160,1,1,Return_to_owner
0.010958904109589,1,1,22,1400680020,0,2,Transfer
4,0,62,49,1447075440,1,0,Return_to_owner
2,0,63,34,1450742400,1,1,Transfer
1,0,28,29,1447507560,1,1,Return_to_owner
2,0,2,17,1449680700,1,0,Return_to_owner
0.076923076923077,1,37,7,1409770260,0,3,Transfer
1,1,1,16,1447415580,1,3,Transfer
2,0,64,50,1431452340,1,1,Adoption
0.83333333333333,1,1,19,1380803220,0,2,Transfer
4,0,14,9,1425732600,1,1,Transfer
0.33333333333333,1,1,36,1405532880,1,1,Adoption
6,0,65,21,1431517860,1,1,Transfer
0.75,0,66,16,1431712020,0,1,Adoption
3,0,67,37,1442673180,1,1,Adoption
0.66666666666667,1,1,25,1416746580,1,1,Adoption
0.83333333333333,0,68,51,1398960720,1,1,Adoption
1,1,1,52,1441065600,0,0,Transfer
1,0,69,53,1445964240,1,0,Adoption
1,0,18,16,1435949400,1,0,Adoption
0.25,0,18,27,1406214120,1,0,Adoption
6,0,16,54,1384885800,1,2,Return_to_owner
1,1,20,10,1390317600,0,4,Transfer
2,0,5,34,1397124780,1,0,Return_to_owner
5,0,70,34,1385837280,0,1,Adoption
12,1,20,15,1431278160,0,0,Euthanasia
2,0,14,55,1396961400,1,1,Adoption
6,0,18,16,1413658080,1,0,Adoption
0.25,1,1,10,1435429440,1,0,Adoption
0.66666666666667,0,71,28,1391253180,1,1,Return_to_owner
1,1,1,10,1388159340,1,0,Transfer
15,1,1,10,1446304680,1,3,Transfer
0.057692307692308,0,28,20,1413999960,0,3,Transfer
0.41666666666667,0,72,41,1415894820,1,0,Adoption
2,0,73,16,1400094900,0,0,Adoption
2,0,74,17,1419932280,1,1,Adoption
2,0,75,56,1448633160,1,2,Return_to_owner
2,0,18,34,1452522180,0,1,Adoption
0.057692307692308,1,1,24,1410547080,0,3,Transfer
1,0,2,57,1432818840,1,1,Transfer
2,1,1,36,1426928400,0,2,Transfer
0.076923076923077,1,1,7,1383146040,1,2,Transfer
4,0,16,41,1396970940,1,0,Transfer
0.057692307692308,1,1,7,1403637300,0,2,Transfer
0.16666666666667,1,1,10,1401178860,1,2,Adoption
1,0,54,29,1454428680,1,1,Transfer
0.16666666666667,0,76,0,1401468840,1,1,Adoption
1,0,77,16,1383587460,1,1,Adoption
3,0,45,35,1405445160,0,1,Adoption
9,0,78,10,1390243200,1,0,Euthanasia
2,1,1,29,1441638300,1,1,Return_to_owner
5,0,79,16,1385993400,0,1,Transfer
2,0,16,16,1448820660,1,2,Return_to_owner
2,0,80,12,1430478240,1,0,Return_to_owner
7,0,81,26,1446568800,1,0,Return_to_owner
1,1,1,36,1406538000,0,3,Transfer
6,1,1,16,1448119260,1,1,Adoption
0.16666666666667,1,1,15,1405195440,1,0,Adoption
1,0,16,33,1431283080,1,1,Return_to_owner
0.16666666666667,1,1,15,1384449240,0,0,Adoption
6,0,38,40,1415457660,1,1,Return_to_owner
0.16666666666667,1,1,36,1432656120,0,2,Transfer
2,0,16,26,1435159500,1,1,Adoption
7,1,36,45,1408472700,1,0,Adoption
0.25,1,1,36,1449405660,1,1,Adoption
3,0,82,37,1447958700,1,0,Adoption
2,1,1,10,1398180900,0,3,Transfer
7,0,83,58,1385920680,0,1,Adoption
0.083333333333333,1,1,59,1432488300,0,2,Euthanasia
2,0,2,0,1384024860,1,1,Return_to_owner
0.41666666666667,0,44,16,1438732800,1,3,Return_to_owner
4,0,84,16,1433246160,1,0,Transfer
2,0,18,35,1394125980,1,0,Return_to_owner
7,0,85,28,1454803200,1,1,Transfer
1,0,86,12,1404650760,1,0,Adoption
0.083333333333333,1,1,15,1386766140,0,0,Transfer
0.083333333333333,0,87,18,1422711180,1,0,Adoption
0.16666666666667,1,88,29,1442760600,1,0,Adoption
3,1,1,23,1444122000,0,3,Transfer
4,0,61,34,1405518480,1,1,Transfer
1,0,2,16,1382187480,1,1,Adoption
2,0,11,16,1438541340,1,1,Adoption
10,0,89,35,1432826700,1,1,Transfer
0.16666666666667,1,1,7,1413651300,1,0,Adoption
10,0,16,4,1428775260,1,1,Adoption
2,1,20,36,1437316620,1,1,Adoption
7,0,54,29,1405940940,1,1,Return_to_owner
1,0,90,33,1408986720,0,0,Adoption
5,0,2,17,1442497680,1,0,Transfer
6,0,16,60,1427133000,1,1,Return_to_owner
0.019230769230769,1,1,7,1440258240,0,4,Transfer
7,0,2,34,1405620360,0,1,Euthanasia
1,0,91,10,1380735780,1,0,Adoption
1,0,92,41,1404996480,1,0,Adoption
0.038461538461538,1,1,19,1430673840,0,3,Transfer
1,1,1,19,1387897380,0,3,Transfer
5,0,81,18,1417616640,1,0,Return_to_owner
2,0,93,5,1407755520,1,1,Return_to_owner
0.83333333333333,0,94,14,1395162240,1,0,Adoption
0.25,1,1,10,1432563300,0,3,Transfer
0.75,0,95,44,1392404340,1,0,Adoption
0.083333333333333,1,1,16,1442851020,0,3,Transfer
0,1,1,23,1398439020,0,4,Transfer
5,1,1,24,1447146000,0,1,Transfer
0.66666666666667,0,16,20,1456002960,0,1,Adoption
1,0,45,61,1430404980,0,2,Transfer
0.16666666666667,1,1,19,1444817520,1,1,Adoption
0.25,1,96,16,1381252980,1,0,Return_to_owner
14,0,16,20,1428334620,1,2,Return_to_owner
7,0,18,62,1394966880,1,0,Return_to_owner
2,0,97,32,1452425760,1,0,Adoption
0.5,0,38,40,1446681600,1,1,Transfer
0.91666666666667,0,75,34,1389626280,1,0,Adoption
3,0,16,34,1423146480,1,0,Adoption
0.16666666666667,1,20,16,1415367360,1,3,Transfer
1,0,98,16,1398611460,1,0,Adoption
0.076923076923077,1,36,63,1412015280,0,3,Euthanasia
4,0,16,41,1427570700,1,0,Euthanasia
8,1,37,19,1385562960,1,0,Adoption
0.25,1,1,24,1381942860,1,1,Adoption
0.16666666666667,0,63,0,1415544420,1,1,Adoption
0.33333333333333,1,1,30,1408107240,0,1,Adoption
2,0,99,33,1395421800,0,2,Euthanasia
6,0,26,12,1405619400,1,0,Return_to_owner
0.91666666666667,0,44,17,1438521420,1,1,Transfer
1,0,18,34,1444321560,0,1,Transfer
4,0,100,64,1385222400,0,0,Transfer
0.16666666666667,1,37,2,1410617400,1,0,Adoption
2,0,2,37,1448236800,0,0,Transfer
0.16666666666667,0,63,65,1385399220,0,1,Adoption
0.5,1,1,10,1420569420,1,0,Adoption
8,1,1,16,1439746680,1,0,Adoption
3,1,1,7,1392312960,1,0,Return_to_owner
2,0,16,0,1407691500,1,0,Adoption
0.16666666666667,0,63,41,1415380500,0,2,Transfer
0.057692307692308,1,1,30,1411305660,0,3,Transfer
0.16666666666667,1,1,7,1433514660,1,1,Adoption
4,0,14,12,1435647660,1,0,Adoption
5,1,1,36,1387205820,1,0,Transfer
2,0,28,20,1448200020,1,1,Adoption
0.5,1,37,24,1380814380,0,3,Transfer
2,0,66,60,1399663800,0,1,Transfer
10,0,101,55,1409567940,1,1,Return_to_owner
0.5,1,1,16,1418374800,0,2,Transfer
0.16666666666667,1,1,24,1396354740,1,3,Transfer
0.5,0,102,55,1424539800,1,0,Adoption
8,0,16,28,1390674840,1,0,Return_to_owner
0.5,0,18,35,1447331760,0,0,Adoption
0.25,1,36,39,1408036980,0,2,Transfer
1,0,103,5,1388601900,1,1,Adoption
1,0,16,26,1426527480,1,1,Adoption
0.16666666666667,0,44,28,1400522700,1,0,Adoption
0.038461538461538,1,1,6,1400265420,0,4,Transfer
2,0,16,4,1390673340,0,1,Adoption
0.16666666666667,1,1,15,1410177180,0,1,Adoption
0.75,1,1,66,1409656980,1,0,Return_to_owner
4,0,54,16,1419346680,0,1,Transfer
0.33333333333333,0,104,8,1415816820,1,0,Adoption
0.0082191780821918,1,1,9,1404671580,0,2,Transfer
6,0,105,67,1432999800,1,2,Transfer
0.16666666666667,0,106,16,1389462120,1,1,Adoption
0.66666666666667,1,1,6,1396538340,0,3,Transfer
0.083333333333333,1,1,16,1407334980,1,2,Transfer
0.33333333333333,1,1,10,1385477700,0,3,Transfer
0.16666666666667,1,1,25,1438347360,1,3,Adoption
2,0,2,68,1399903500,1,3,Return_to_owner
0.33333333333333,0,107,28,1396625400,0,0,Adoption
1,1,1,7,1454959380,0,2,Transfer
0.25,1,36,69,1437044940,0,1,Adoption
0.16666666666667,1,1,16,1404830880,0,2,Transfer
0.33333333333333,1,1,15,1450951920,1,1,Adoption
5,0,108,40,1434283260,1,0,Adoption
2,0,2,44,1390485960,1,1,Return_to_owner
0.038461538461538,1,1,7,1406812920,0,3,Transfer
0.16666666666667,1,1,10,1416310320,1,1,Adoption
0.83333333333333,0,16,34,1447610460,0,1,Adoption
2,0,109,16,1403011620,0,0,Transfer
0.83333333333333,0,110,9,1447088520,1,1,Adoption
0.076923076923077,1,1,23,1406306880,0,2,Transfer
1,0,111,70,1402246140,1,0,Return_to_owner
0.58333333333333,1,1,36,1421689980,1,1,Adoption
2,0,2,0,1423838940,1,1,Adoption
7,0,79,16,1420217400,1,1,Transfer
0.16666666666667,1,1,7,1437590220,1,0,Adoption
12,1,1,16,1440440580,1,0,Euthanasia
3,0,63,28,1409669460,1,3,Transfer
0.25,1,1,16,1418988180,1,1,Transfer
2,0,112,71,1445623620,1,1,Adoption
12,0,18,27,1398182520,1,3,Return_to_owner
1,0,11,10,1426507800,1,1,Adoption
3,0,18,27,1409331360,0,0,Transfer
0.083333333333333,1,1,24,1401039120,1,1,Adoption
0.016438356164384,0,18,9,1425635640,0,4,Transfer
0.75,0,54,28,1385142840,1,1,Return_to_owner
0.16666666666667,1,20,16,1416766980,1,1,Adoption
2,0,113,34,1433956980,1,0,Euthanasia
7,0,114,9,1451323980,1,0,Return_to_owner
0.33333333333333,0,18,23,1394468640,1,0,Transfer
10,1,1,19,1432655520,1,0,Adoption
5,0,16,4,1393517040,1,1,Return_to_owner
2,0,109,20,1425226380,1,1,Adoption
5,0,16,34,1411227420,1,0,Adoption
0.41666666666667,1,36,45,1413393660,1,0,Adoption
1,1,1,16,1427913840,0,0,Adoption
1,0,115,72,1447419540,1,2,Transfer
0.33333333333333,1,37,10,1418909700,1,0,Transfer
2,0,61,21,1392311100,1,1,Transfer
3,0,93,5,1397754540,1,2,Euthanasia
0.076923076923077,1,96,23,1429897620,0,2,Transfer
0.057692307692308,1,1,16,1432061340,0,4,Transfer
0.057692307692308,1,1,30,1434544020,0,3,Transfer
2,0,115,10,1436622540,1,1,Transfer
1,0,44,0,1447009800,1,0,Adoption
0.038461538461538,1,1,6,1407088020,0,2,Transfer
2,0,116,21,1412949900,0,0,Adoption
0.75,0,117,8,1445863380,1,2,Return_to_owner
3,0,86,12,1390749540,1,0,Adoption
0.083333333333333,1,1,30,1435311720,1,3,Euthanasia
2,0,118,28,1423407300,1,0,Adoption
2,1,1,7,1453834860,0,0,Transfer
0.33333333333333,0,38,73,1404499320,0,0,Transfer
3,0,119,40,1445016240,1,2,Return_to_owner
1,0,2,0,1417799400,1,0,Transfer
0.083333333333333,1,37,36,1411670880,1,2,Transfer
1,0,16,41,1400334240,1,1,Adoption
0.16666666666667,0,18,5,1452170640,0,0,Transfer
9,0,35,12,1431369480,1,1,Return_to_owner
2,0,2,12,1433098380,1,0,Adoption
0.5,0,28,74,1448104620,1,1,Adoption
0.25,0,120,28,1425388440,0,0,Adoption
0.083333333333333,0,121,20,1404751920,1,0,Adoption
1,0,8,5,1448323200,1,3,Transfer
2,0,2,2,1400252280,1,1,Adoption
3,0,18,16,1395505380,1,1,Return_to_owner
0.16666666666667,1,36,75,1444487400,1,2,Adoption
2,0,15,2,1394384760,1,1,Return_to_owner
2,0,122,17,1382617860,1,0,Return_to_owner
0.16666666666667,0,123,26,1408986060,0,0,Adoption
12,1,20,30,1405361280,1,1,Euthanasia
2,1,1,23,1391087640,0,0,Transfer
0.66666666666667,0,18,10,1422367560,1,3,Euthanasia
10,1,1,36,1452591000,1,3,Euthanasia
0.16666666666667,1,37,19,1404747540,1,0,Adoption
0.25,0,16,76,1402160940,1,0,Adoption
1,0,124,2,1387375440,1,0,Return_to_owner
2,1,1,30,1403082000,0,3,Transfer
0.16666666666667,1,1,6,1448823600,1,0,Adoption
0.25,1,36,75,1410633300,1,1,Adoption
7,0,66,9,1427303820,0,1,Adoption
2,0,26,12,1425743160,1,1,Adoption
0.33333333333333,0,44,17,1413397500,1,3,Return_to_owner
0.16666666666667,1,1,7,1448990640,1,1,Adoption
0.25,1,1,77,1441457160,1,0,Adoption
2,1,125,77,1387543080,1,1,Transfer
0.5,1,1,16,1386529860,1,1,Adoption
0.010958904109589,1,1,25,1428507660,0,3,Transfer
0.25,1,1,7,1405185480,0,1,Adoption
0.41666666666667,1,36,78,1415727660,1,1,Adoption
0.16666666666667,1,1,15,1444312380,1,0,Transfer
0.083333333333333,1,1,36,1411570800,1,3,Transfer
1,0,2,16,1384107900,1,1,Euthanasia
0.083333333333333,0,63,26,1383046080,0,2,Transfer
3,0,16,5,1384712880,0,1,Return_to_owner
3,0,126,10,1401796020,1,0,Adoption
6,0,127,28,1407254940,1,2,Return_to_owner
0.66666666666667,0,2,74,1437920640,1,2,Adoption
0.33333333333333,1,1,36,1410963060,0,0,Adoption
3,0,102,27,1394542500,1,0,Return_to_owner
0.076923076923077,0,16,28,1386934860,0,2,Return_to_owner
0.16666666666667,1,1,25,1451840880,1,1,Return_to_owner
0.16666666666667,0,63,76,1444207620,0,2,Transfer
1,0,56,10,1441735200,1,2,Euthanasia
5,0,102,10,1448383860,1,0,Return_to_owner
7,0,128,28,1451134140,1,1,Return_to_owner
0.16666666666667,1,20,23,1435599840,0,1,Adoption
3,0,2,16,1447268100,1,0,Return_to_owner
0.083333333333333,1,1,25,1413047100,0,3,Adoption
6,0,66,35,1444066860,1,0,Adoption
0.16666666666667,0,18,20,1428079980,1,3,Transfer
2,0,2,41,1436000160,1,0,Euthanasia
0.038461538461538,1,1,15,1444499580,0,4,Transfer
1,1,1,16,1421398800,0,3,Transfer
2,0,129,5,1422793740,1,1,Return_to_owner
0.16666666666667,1,1,10,1405280220,1,0,Adoption
0.16666666666667,1,1,19,1445285580,1,0,Adoption
8,1,36,79,1386094260,0,0,Euthanasia
0.019230769230769,0,18,9,1449159180,0,4,Transfer
12,0,16,9,1436966040,1,0,Return_to_owner
1,0,2,20,1427289840,1,1,Return_to_owner
11,0,130,61,1433607960,1,1,Return_to_owner
0.038461538461538,1,1,31,1410194460,0,3,Transfer
2,0,42,16,1397128920,1,0,Return_to_owner
2,0,14,5,1420563240,1,0,Transfer
2,0,16,10,1446733380,1,0,Adoption
3,0,16,12,1435057680,1,0,Return_to_owner
0.013698630136986,1,1,10,1435666620,0,4,Transfer
0.057692307692308,1,1,66,1431889380,0,2,Euthanasia
0.83333333333333,0,116,28,1394819760,0,1,Adoption
7,1,1,7,1390228380,1,1,Return_to_owner
7,0,2,8,1404496500,1,0,Return_to_owner
3,0,62,16,1451144880,1,2,Return_to_owner
2,0,131,10,1383579600,1,1,Return_to_owner
2,1,37,6,1449602640,0,0,Return_to_owner
1,0,18,37,1450015560,1,1,Return_to_owner
0.41666666666667,1,1,24,1450023660,1,1,Adoption
0.66666666666667,1,1,10,1413795600,0,4,Transfer
0.25,1,20,7,1418912940,1,2,Adoption
1,0,16,4,1427467140,1,0,Adoption
0.33333333333333,1,37,80,1384016580,1,1,Adoption
1,1,1,1,1392219600,0,2,Transfer
1,0,2,34,1415982240,1,0,Transfer
0.16666666666667,1,1,10,1440171780,1,0,Adoption
0.66666666666667,0,18,10,1385924400,1,1,Adoption
1,1,1,24,1438938000,0,3,Transfer
5,0,91,61,1447354320,1,0,Return_to_owner
0.076923076923077,0,16,9,1441389420,0,3,Transfer
3,0,18,27,1401728040,1,1,Return_to_owner
3,0,2,16,1446733980,1,1,Adoption
0.16666666666667,0,42,28,1422294480,1,1,Adoption
0.25,0,2,41,1435158840,1,2,Transfer
10,0,8,81,1428593760,1,3,Return_to_owner
5,0,114,4,1453829640,1,0,Return_to_owner
0.076923076923077,1,1,7,1447241940,0,2,Transfer
7,0,132,0,1427037780,1,0,Transfer
1,0,133,82,1421936820,1,1,Return_to_owner
0.25,1,1,19,1439751360,1,2,Adoption
4,1,1,16,1426688580,1,0,Return_to_owner
3,0,116,41,1424964120,1,3,Return_to_owner
0.083333333333333,0,16,26,1394300520,1,0,Adoption
0.038461538461538,1,1,7,1430141760,0,3,Transfer
0.038461538461538,1,1,7,1442068080,0,4,Transfer
0.016438356164384,1,1,7,1437483480,0,4,Transfer
1,0,14,33,1425207840,1,1,Return_to_owner
0.076923076923077,1,1,24,1382355540,0,3,Transfer
8,1,17,23,1380721800,1,1,Return_to_owner
0.083333333333333,1,1,80,1397579100,1,3,Transfer
10,0,134,5,1455621360,1,0,Return_to_owner
0.33333333333333,1,135,61,1447785660,1,0,Return_to_owner
3,0,136,28,1433267700,1,0,Return_to_owner
2,0,137,10,1423674960,1,2,Transfer
8,0,63,55,1389628320,1,1,Return_to_owner
3,0,138,49,1394044800,1,1,Adoption
0.75,0,139,83,1429555680,1,0,Adoption
0.25,1,1,15,1383141780,1,0,Adoption
9,0,140,84,1429719600,0,4,Euthanasia
1,0,141,40,1415463660,1,0,Adoption
0.33333333333333,1,1,19,1390320120,1,1,Adoption
4,1,1,19,1400325000,0,2,Euthanasia
2,0,16,21,1432058760,1,1,Return_to_owner
0.038461538461538,0,2,0,1402145580,0,2,Transfer
0.16666666666667,1,1,1,1416852600,1,0,Adoption
10,1,37,15,1419265740,1,0,Adoption
0.16666666666667,1,1,10,1380736800,1,3,Transfer
3,0,16,85,1405954620,1,0,Return_to_owner
6,1,1,52,1417696620,1,0,Transfer
7,0,142,26,1397652660,1,1,Transfer
0.16666666666667,1,1,24,1433415360,1,1,Adoption
0.33333333333333,1,1,7,1381324500,1,0,Adoption
5,0,18,12,1448891880,1,0,Transfer
6,0,16,16,1415467920,1,0,Return_to_owner
8,1,37,16,1382640720,0,0,Euthanasia
2,0,143,34,1418317620,1,0,Euthanasia
0.16666666666667,1,144,79,1445953080,0,0,Adoption
0.33333333333333,0,145,37,1432572720,0,1,Adoption
1,1,1,16,1406972880,0,4,Euthanasia
0.16666666666667,0,56,10,1452705360,0,0,Adoption
5,1,1,36,1388157120,1,0,Adoption
0.16666666666667,1,1,16,1432729140,0,1,Transfer
3,1,1,29,1435603140,1,0,Return_to_owner
3,0,146,28,1435255860,1,0,Return_to_owner
3,0,16,4,1450789440,0,1,Adoption
0.083333333333333,1,1,7,1402835700,1,3,Transfer
0.16666666666667,0,16,10,1382202240,1,1,Adoption
2,1,1,9,1450550340,1,1,Adoption
4,1,1,2,1449071940,1,0,Return_to_owner
0.057692307692308,1,144,39,1435743480,1,2,Died
